author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
16,"""gay marriage""","['the', 'emotional', 'argument', 'that', 'gay', 'marriage', 'is', 'wrong', 'for', 'society', 'has', 'been', 'proven', 'to', 'be', 'empty', '.', 'massachusetts', 'has', 'had', 'legal', 'same-sex', 'marriage', 'for', 'a', 'couple', 'of', 'years', 'now', 'and', 'the', 'sky', 'has', 'not', 'fallen', '.', 'children', 'of', 'same', 'sex', 'couples', 'are', 'just', 'as', 'happy', 'and', 'healthy', 'as', 'children', 'with', 'a', 'mom', 'and', 'dad', '...', 'better', 'off', 'than', 'single-parent', 'children', '.', 'it', ""'s"", 'tough', 'to', 'make', 'a', 'logical', 'argument', 'that', 'marginalizing', 'a', 'large', 'population', 'of', 'our', 'country', 'is', 'a', 'healthy', 'social', 'encironment', '.', 'what', 'message', 'does', 'that', 'send', 'to', 'our', 'children', '?']",8,0,2,"""Allowing gay marriage is Right"""
495,"""gay marriage""","['the', 'only', 'reason', 'we', 'are', 'making', 'such', 'a', 'big', 'deal', 'about', 'this', 'issue', 'is', 'all', 'these', 'damn', 'religious', 'nuts', 'running', 'around', '.', 'damn', 'conservative', 'religious', 'republicans', '!']",8,0,2,"""Allowing gay marriage is Right"""
1018,"""gay marriage""","['matter', '-', 'life', '-', 'mind', 'we', 'are', 'experiencing', 'the', 'ongoing', 'ascendancy', 'of', 'the', 'human', 'mind', '.', 'this', 'is', 'not', 'esoteric', 'philosophical', 'mumbo-jumbo', '.', 'human', 'rights', ',', 'sexual', 'equality', ',', 'and', 'abolition', 'are', 'examples', 'of', 'cultural', 'acknowledgment', 'that', 'minds', 'are', 'more', 'important', 'than', 'bodies', '.', 'the', 'issue', 'of', 'gay', 'marriage', 'is', 'simply', 'another', 'example', 'of', 'this', 'ongoing', 'ascendancy', '.', 'each', 'of', 'the', 'examples', 'above', 'were', '(', 'and', 'still', 'are', ')', 'met', 'with', 'similar', 'forms', 'of', 'resistance', 'we', 'see', 'to', 'gay', 'marriage', '.', 'gender', ',', 'age', ',', 'and', 'race', 'will', 'ultimately', 'play', 'no', 'roll', 'in', 'rearing', 'of', 'children', '.', 'human', 'minds', 'raise', 'human', 'minds', '.']",8,0,2,"""Allowing gay marriage is Right"""
646,"""gay marriage""","['if', 'marriage', 'is', 'so', 'sacred', ',', 'why', 'are', 'the', 'anti-gay', 'marriage', 'wonks', 'not', 'fighting', 'just', 'as', 'hard', 'to', 'outlaw', 'divorce', '?']",8,0,2,"""Allowing gay marriage is Right"""
867,"""gay marriage""","['i', ""'m"", 'pretty', 'much', 'the', 'same', 'way', 'about', 'gay', 'marriage', ',', 'but', 'for', 'different', 'reasons', 'and', 'with', 'different', 'caveats', '.', 'first', 'of', 'all', ',', '``', 'gay', 'marriage', ""''"", 'is', 'a', 'misleading', 'term', ',', 'since', '``', 'marriage', ""''"", 'is', 'a', 'religious', 'institution', 'that', 'was', 'co-opted', 'by', 'government', 'for', 'the', 'purpose', 'of', 'taxes', ',', 'benefits', ',', 'legal', 'situations', ',', 'etc', '.', '(', 'whatever', 'happened', 'to', 'separation', 'of', 'church', 'and', 'state', ',', 'eh', '?', ')', 'government', 'should', 'stay', 'out', 'of', 'the', 'religious', 'institution', 'of', 'marriage', '.', 'in', 'that', 'context', ',', 'the', ""gov't"", 'has', 'no', 'right', 'telling', 'anyone', 'who', 'can', 'marry', 'who', '.', 'if', 'the', ""gov't"", 'wants', 'to', 'create', 'a', 'secular', ',', 'social', 'contract', 'for', 'the', 'purposes', 'of', 'taxes', ',', 'benefits', ',', 'etc', ',', 'and', 'allow', 'gay', 'versions', 'of', 'that', ',', 'then', 'that', ""'s"", 'fine', '.', 'on', 'top', 'of', 'that', ',', 'if', 'gays', 'can', 'find', 'a', 'church', 'that', 'will', 'marry', 'them', 'in', 'a', 'religious', 'ceremony', ',', 'then', 'fine', '...', 'but', 'if', 'they', 'ca', ""n't"", 'find', 'a', 'church', 'to', 'marry', 'them', ',', 'no', 'lawsuits', 'allowed', '.', 'it', ""'s"", 'wrong', '(', 'not', 'to', 'mention', 'unconstitutional', ')', 'to', 'force', 'a', 'religion', 'to', 'go', 'against', 'its', 'tenets', 'and', 'ideals', 'just', 'because', 'someone', 'outside', 'the', 'religion', 'does', ""n't"", 'like', 'them', '.', 'so', ',', 'i', ""'m"", 'against', '``', 'gay', 'marriage', ""''"", 'but', 'not', 'against', '``', 'gay', 'social', 'contracts', ""''"", '(', 'secular', '``', 'marriage', ""''"", ')', '.']",8,0,2,"""Allowing gay marriage is Right"""
21,"""gay marriage""","['marriage', 'is', 'about', 'love', ',', 'if', 'a', 'gay', 'couple', 'love', 'eachother', ',', 'they', 'should', 'be', 'allowed', 'to', 'marry', '.', 'it', ""'s"", 'as', 'simple', 'as', 'that', '.']",8,0,2,"""Allowing gay marriage is Right"""
911,"""gay marriage""","['some', 'suggest', 'gay', 'marriage', 'will', 'merely', 'undermine', 'one', 'of', 'our', 'most', 'fundamental', 'societal', 'institutions', ',', 'causing', 'countless', 'straight', 'couples', 'to', 'get', 'divorced', 'because', 'exclusion', 'of', 'gays', 'was', 'the', 'only', 'thing', 'holding', 'their', 'marriage', 'together', '.', 'but', 'we', 'know', 'better', '.', 'gay', 'marriage', 'killed', 'the', 'dinosaurs', '.', 'if', 'we', 'let', 'liberal', 'activist', 'judges', 'in', 'massachusetts', 'and', 'california', 'set', 'the', 'course', ',', 'the', 'blood', 'will', 'run', 'in', 'rivers', '.', 'mixed', 'with', 'molten', 'lava', '.', 'top', 'ten', 'reasons', 'to', 'make', 'gay', 'marriage', 'illegal', '01', '.', ')', 'being', 'gay', 'is', 'not', 'natural', '.', 'real', 'americans', 'always', 'reject', 'unnatural', 'things', 'like', 'eyeglasses', ',', 'polyester', ',', 'and', 'air', 'conditioning', '.', '02', '.', ')', 'gay', 'marriage', 'will', 'encourage', 'people', 'to', 'be', 'gay', ',', 'in', 'the', 'same', 'way', 'that', 'hanging', 'around', 'tall', 'people', 'will', 'make', 'you', 'tall', '.', '03', '.', ')', 'legalizing', 'gay', 'marriage', 'will', 'open', 'the', 'door', 'to', 'all', 'kinds', 'of', 'crazy', 'behavior', '.', 'people', 'may', 'even', 'wish', 'to', 'marry', 'their', 'pets', 'because', 'a', 'dog', 'has', 'legal', 'standing', 'and', 'can', 'sign', 'a', 'marriage', 'contract', '.', '04', '.', ')', 'straight', 'marriage', 'has', 'been', 'around', 'a', 'long', 'time', 'and', 'has', ""n't"", 'changed', 'at', 'all', ',', 'women', 'are', 'still', 'property', ',', 'blacks', 'still', 'ca', ""n't"", 'marry', 'whites', ',', 'and', 'divorce', 'is', 'still', 'illegal', '.', '05', '.', ')', 'straight', 'marriage', 'will', 'be', 'less', 'meaningful', 'if', 'gay', 'marriage', 'were', 'allowed', ',', 'the', 'sanctity', 'of', 'britney', 'spears', ""'"", '55-hour', 'just-for-fun', 'marriage', 'would', 'be', 'destroyed', '.', '06', '.', ')', 'straight', 'marriages', 'are', 'valid', 'because', 'they', 'produce', 'children', '.', 'gay', 'couples', ',', 'infertile', 'couples', ',', 'and', 'old', 'people', 'should', ""n't"", 'be', 'allowed', 'to', 'marry', 'because', 'our', 'orphanages', 'are', ""n't"", 'full', 'yet', ',', 'and', 'the', 'world', 'needs', 'more', 'children', '.', '07', '.', ')', 'obviously', 'gay', 'parents', 'will', 'raise', 'gay', 'children', ',', 'since', 'straight', 'parents', 'only', 'raise', 'straight', 'children', '.', '08', '.', ')', 'gay', 'marriage', 'is', 'not', 'supported', 'by', 'religion', '.', 'in', 'a', 'theocracy', 'like', 'ours', ',', 'the', 'values', 'of', 'one', 'religion', 'are', 'imposed', 'on', 'the', 'entire', 'country', '.', 'that', ""'s"", 'why', 'we', 'have', 'only', 'one', 'religion', 'in', 'america', '.', '09', '.', ')', 'children', 'can', 'never', 'succeed', 'without', 'a', 'male', 'and', 'a', 'female', 'role', 'model', 'at', 'home', '.', 'that', ""'s"", 'why', 'we', 'as', 'a', 'society', 'expressly', 'forbid', 'single', 'parents', 'to', 'raise', 'children', '.', '10', '.', ')', 'gay', 'marriage', 'will', 'change', 'the', 'foundation', 'of', 'society', ',', 'we', 'could', 'never', 'adapt', 'to', 'new', 'social', 'norms', '.', 'just', 'like', 'we', 'have', ""n't"", 'adapted', 'to', 'cars', ',', 'the', 'service-sector', 'economy', ',', 'or', 'longer', 'life', 'spans', '.', 'stop', 'it', 'before', 'its', 'too', 'late', '.', '--', '--', '--', '--', '--', 'you', 'get', 'it', '?', 'homosexual', ',', 'bisexual', ',', 'heterosexual', ',', 'transsexual', '.', 'we', ""'re"", 'all', 'people', 'and', 'deserve', 'basic', 'rights', '.']",8,0,2,"""Allowing gay marriage is Right"""
406,"""gay marriage""","['the', '14th', 'amendment', 'of', 'the', 'constitution', 'asserts', 'that', ':', '``', 'no', 'state', 'shall', 'make', 'or', 'enforce', 'any', 'law', 'which', 'shall', 'abridge', 'the', 'privileges', 'or', 'immunities', 'of', 'citizens', 'of', 'the', 'united', 'states', ',', 'nor', 'shall', 'any', 'state', 'deprive', 'any', 'person', 'of', 'life', ',', 'liberty', ',', 'or', 'property', ',', 'without', 'due', 'process', 'of', 'law', ',', 'nor', 'deny', 'to', 'any', 'person', 'within', 'its', 'jurisdiction', 'the', 'equal', 'protection', 'of', 'the', 'laws', '.', ""''""]",8,0,2,"""Allowing gay marriage is Right"""
991,"""gay marriage""","['the', 'whole', 'point', 'of', 'marriage', 'is', 'to', 'be', 'monogamous', '.', 'how', 'can', 'that', 'in', 'any', 'way', 'lead', 'to', 'the', 'spread', 'of', 'sexually', 'transmitted', 'diseases', '?', 'get', 'your', 'facts', 'straight', '.']",8,0,2,"""Allowing gay marriage is Right"""
29,"""gay marriage""","['honestly', 'who', 'cares', '-', 'if', 'people', 'want', 'to', 'be', 'together', 'so', 'be', 'it', '.', 'it', 'is', ""n't"", 'like', 'marriage', 'is', 'some', 'high', 'holy', 'thing', '-', 'we', 'sell', 'it', 'on', 'tv', ',', 'in', 'drive', 'throughs', ',', 'etc', '.', 'and', 'that', 'is', 'fake', 'love', '.', 'if', 'people', 'really', 'want', 'to', 'be', 'together', 'then', 'who', 'are', 'you', 'to', 'tell', 'them', 'no', '.', 'if', 'you', 'do', ""n't"", 'like', 'what', 'they', 'do', ',', 'do', ""n't"", 'be', 'their', 'friend', '.', 'plus', 'what', 'will', 'you', 'do', 'when', 'you', 'kids', 'are', 'gay', '?']",8,0,2,"""Allowing gay marriage is Right"""
