author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
79,immigration,"['amnesty', 'for', 'illegal', 'is', 'bs', '.', 'it', ""'s"", 'unfair', 'for', 'those', 'who', 'came', 'here', 'through', 'proper', 'channels', '.', 'i', 'agree', 'that', 'they', 'have', 'become', 'a', 'vital', 'part', 'of', 'the', 'us', 'economy', '.', 'but', 'promoting', 'amnesty', 'only', 'promotes', 'the', 'illegal', 'activities', 'of', 'coming', 'into', 'the', 'country', 'illegally', '.', 'i', 'spoke', 'with', 'someone', 'whose', 'family', 'was', 'a', 'paper', 'family', '.', 'he', 'was', 'torn', 'on', 'the', 'issue', '.', 'i', 'respect', 'this', 'person', ',', 'his', 'family', ',', 'and', 'all', 'their', 'contribution', 'to', 'this', 'country', '.', 'but', 'you', 'still', 'ca', ""n't"", 'right', 'a', 'wrong', 'at', 'the', 'end', '.']",16,1,0,"""Illegal inmigrants shouldnÂ´t be given rights citizenship after all."""
518,immigration,"['let', ""'s"", 'say', 'i', 'break', 'into', 'your', 'house', '.', 'let', ""'s"", 'say', 'that', 'when', 'you', 'discover', 'me', 'in', 'your', 'house', ',', 'you', 'insist', 'that', 'i', 'leave', '.', 'but', 'i', 'say', ',', '``', 'i', ""'ve"", 'made', 'all', 'the', 'beds', 'and', 'washed', 'the', 'dishes', 'and', 'did', 'the', 'laundry', 'and', 'swept', 'the', 'floors', '.', 'i', ""'ve"", 'done', 'all', 'the', 'things', 'you', 'do', ""n't"", 'like', 'to', 'do', '.', 'i', ""'m"", 'hard-working', 'and', 'honest', '(', 'except', 'for', 'when', 'i', 'broke', 'into', 'your', 'house', ')', '.', 'according', 'to', 'the', 'protesters', ':', 'â·', 'you', 'are', 'required', 'to', 'let', 'me', 'stay', 'in', 'your', 'house', 'â·', 'you', 'are', 'required', 'to', 'add', 'me', 'to', 'your', 'family', ""'s"", 'insurance', 'plan', 'â·', 'you', 'are', 'required', 'to', 'educate', 'my', 'kids', 'â·', 'you', 'are', 'required', 'to', 'provide', 'other', 'benefits', 'to', 'me', 'and', 'to', 'my', 'family', '(', 'my', 'husband', 'will', 'do', 'all', 'of', 'your', 'yard', 'work', 'because', 'he', 'is', 'also', 'hard-working', 'and', 'honest', ',', 'except', 'for', 'that', 'breaking', 'in', 'part', ')', '.', 'if', 'you', 'try', 'to', 'call', 'the', 'police', 'or', 'force', 'me', 'out', ',', 'i', 'will', 'call', 'my', 'friends', 'who', 'will', 'picket', 'your', 'house', 'carrying', 'signs', 'that', 'proclaim', 'my', 'right', 'to', 'be', 'there', '.', 'it', ""'s"", 'only', 'fair', ',', 'after', 'all', ',', 'because', 'you', 'have', 'a', 'nicer', 'house', 'than', 'i', 'do', ',', 'and', 'i', ""'m"", 'just', 'trying', 'to', 'better', 'myself', '.', 'i', ""'m"", 'a', 'hard-working', 'and', 'honest', ',', 'person', ',', 'except', 'for', 'well', ',', 'you', 'know', ',', 'i', 'did', 'break', 'into', 'your', 'house', '.', 'and', 'what', 'a', 'deal', 'it', 'is', 'for', 'me', '!', 'i', 'live', 'in', 'your', 'house', ',', 'contributing', 'only', 'a', 'fraction', 'of', 'the', 'cost', 'of', 'my', 'keep', ',', 'and', 'there', 'is', 'nothing', 'you', 'can', 'do', 'about', 'it', 'without', 'being', 'accused', 'of', 'cold', ',', 'uncaring', ',', 'selfish', ',', 'prejudiced', ',', 'and', 'bigoted', 'behavior', '.', 'oh', 'yeah', ',', 'i', 'demand', 'that', 'you', 'to', 'learn', 'my', 'language', '!', '!', '!', 'so', 'you', 'can', 'communicate', 'with', 'me', '.']",16,1,0,"""Illegal inmigrants shouldnÂ´t be given rights citizenship after all."""
1553,immigration,"['hey', 'if', 'people', 'want', 'to', 'come', 'here', 'to', 'the', 'usa', 'to', 'get', 'a', 'better', 'life', '.', 'then', 'god', 'bless', 'them', 'but', 'do', 'it', 'the', 'right', 'way', '.', 'no', 'amnesty', '.']",16,1,0,"""Illegal inmigrants shouldnÂ´t be given rights citizenship after all."""
375,immigration,"['by', 'making', 'these', 'people', 'citizens', 'we', 'are', 'rewarding', 'the', 'deceptive', 'behavior', 'that', 'has', 'gone', 'on', 'before', '.', 'if', 'i', 'murder', 'someone', ',', 'but', 'then', 'do', 'all', 'sorts', 'of', 'great', 'things', 'for', '10', 'years', ',', 'and', 'the', 'murder', 'comes', 'up', ',', 'should', 'i', 'be', 'granted', 'immunity', 'for', 'my', 'crime', 'because', 'it', 'happened', 'so', 'long', 'ago', '?', 'why', 'would', 'it', 'be', 'different', 'if', 'i', 'broke', 'into', 'the', 'country', 'and', 'refused', 'to', 'pay', 'taxes', 'for', 'years', '?', 'there', 'is', 'no', 'statute', 'of', 'limitation', 'on', 'these', 'things', '.']",16,1,0,"""Illegal inmigrants shouldnÂ´t be given rights citizenship after all."""
2269,immigration,"['this', 'issue', 'has', 'nothing', 'to', 'do', 'with', 'racism', ',', 'and', 'everything', 'to', 'do', 'with', 'following', 'the', 'law', '.', 'proponents', 'of', 'amnesty', 'would', 'have', 'us', 'throw', 'out', 'the', 'immigration', 'laws', 'this', 'country', 'was', 'founded', 'upon', ',', 'so', 'that', 'people', 'who', 'did', ""n't"", 'bother', 'to', 'follow', 'them', 'wont', 'be', 'punished', '.', 'i', ""'m"", 'sorry', ',', 'that', 'does', ""n't"", 'work', 'for', 'me', ',', 'and', 'it', 'should', ""n't"", 'work', 'for', 'you', ',', 'either', '.', 'i', 'do', ""n't"", 'care', 'whether', 'the', 'overwhelming', 'bulk', 'of', 'these', 'people', 'are', '``', 'law', 'abiding', '(', 'although', 'they', 'broke', 'the', 'law', 'by', 'entering', 'the', 'country', 'illegally', ')', ',', ""''"", 'tax', 'paying', ',', 'family', 'people-', 'unfortunately', 'that', ""'s"", 'not', 'the', 'issue', 'here', '.', 'the', 'issue', 'is', 'they', 'chose', 'not', 'to', 'follow', 'the', 'laws', 'regulating', 'the', 'inflow', 'of', 'immigrants', 'into', 'this', 'nation', '.', 'they', 'ignored', 'the', 'sovereignty', 'of', 'the', 'united', 'states', 'to', 'declare', 'under', 'what', 'circumstances', 'a', 'person', 'can', 'enter', 'this', 'great', 'nation', ',', 'and', 'they', 'demand', 'the', 'government', 'look', 'past', 'their', 'crimes', ',', 'and', 'grant', 'them', 'citizenship', '.', 'that', ""'s"", 'not', 'the', 'way', 'it', 'works', '!', 'why', 'is', 'it', ',', 'i', 'ask', 'you', ',', 'that', 'we', 'should', 'bend', 'the', 'rules', 'for', 'this', 'select', 'group', 'of', 'people', '?', 'why', 'is', 'it', 'that', 'we', 'should', 'throw', 'out', 'the', 'laws', ',', 'because', 'they', 'are', 'decent', 'hardworking', 'folk', ',', 'who', 'pay', 'taxes', ',', 'and', 'contribute', 'socially', '?', 'this', 'insinuates', 'that', 'no', 'other', 'group', 'of', 'immigrants', 'to', 'come', 'to', 'this', 'country', 'were', 'as', 'great', 'as', 'the', 'ones', 'now', 'here', ',', '``', 'living', 'in', 'the', 'shadows', '.', ""''"", 'why', 'should', 'the', 'rules', 'be', 'bent', 'for', 'this', 'group', ',', 'and', 'not', ',', 'say', 'for', 'the', 'displaced', 'jews', 'of', 'wwii', '?', 'these', 'immigrants', 'had', 'to', 'flee', 'execution', 'in', 'their', 'homeland', ',', 'and', 'endure', 'the', 'tough', '(', 'but', 'fair', ')', 'immigration', 'procedures', 'once', 'they', 'arrived', 'here', '.', 'they', 'paid', 'the', 'fees', ',', 'they', 'waited', 'in', 'line', ',', 'they', 'took', 'the', 'test', ',', 'and', 'now', 'we', 'should', 'spit', 'in', 'their', 'faces', 'and', 'declare', 'the', '20', 'million', 'illegals', 'citizens', 'because', 'it', 'would', 'be', ""'cruel"", ""'"", 'to', 'send', 'them', 'back', '?', 'there', 'are', 'a', 'few', 'select', 'things', 'that', 'make', 'a', 'country', 'a', 'country', ',', 'two', 'of', 'which', 'are', 'border', 'and', 'language', '.', 'are', 'the', 'mexicans', 'racists', 'for', 'not', 'offering', 'their', 'government', 'services', 'in', 'english', '?', 'are', 'the', 'canadians', 'racists', 'for', 'enforcing', 'their', 'borders', 'and', 'deporting', 'illegal', 'immigrants', 'from', 'their', 'country', '?', 'somehow', 'the', 'answer', 'to', 'both', 'of', 'these', 'questions', 'is', 'no', ',', 'but', 'we', 'here', 'in', 'the', 'us', 'are', 'racists', 'for', 'doing', 'these', 'same', 'things', '.', 'oh', ',', 'and', 'just', 'one', 'final', 'note', '...', 'the', 'us', 'did', ""n't"", 'steal', 'the', 'land', 'we', 'call', 'california', ',', 'arizona', ',', 'new', 'mexico', ',', 'wyoming', ',', 'colorado', ',', 'nevada', 'and', 'utah', 'from', 'mexico', '.', 'after', 'winning', 'the', 'mexican-american', 'war', ',', 'the', 'united', 'states', 'deferring', 'it', ""'s"", 'right', 'to', 'take', 'the', 'land', 'in', 'question', ',', 'instead', 'paid', '$', '15,000,000', 'dollars', 'for', 'the', 'area', ',', 'and', 'benevolently', 'forgave', '$', '3,250,000', 'in', 'debts', 'owed', 'by', 'the', 'mexicans', 'to', 'the', 'us', '.', 'btw', ',', 'in', 'today', ""'s"", 'money', ',', 'that', 'would', 'be', 'roughly', '$', '313,000,000', 'and', '$', '68,000,000', 'respectively', '.']",16,1,0,"""Illegal inmigrants shouldnÂ´t be given rights citizenship after all."""
1851,immigration,"['as', 'part', 'of', 'securing', 'a', 'border', ',', 'a', 'fence', 'is', 'a', 'practical', 'tool', 'along', 'with', 'border', 'patrol', 'and', 'other', 'security', 'measures', '.']",16,0,0,"""A fence should be built on the US/Mexico border"""
1851,immigration,"['perhaps', 'you', 'are', 'thinking', 'of', 'a', 'different', 'country', ',', 'or', 'a', 'different', 'route', 'of', 'entry', 'into', 'the', 'united', 'states', '.', 'there', 'are', 'many', 'who', 'travel', 'by', 'foot', 'or', 'vehicle', 'over', 'the', 'southern', 'border', 'of', 'the', 'united', 'states', '-', 'and', 'a', 'fence', 'would', 'be', 'a', 'significant', 'deterrent', '.']",16,0,0,"""A fence should be built on the US/Mexico border"""
1580,immigration,"['we', 'did', 'not', 'rob', 'any', 'native', 'americans', '.', 'some', 'of', 'our', 'ancestors', 'did', '.', 'i', 'am', 'descended', 'from', 'a', 'more', 'recently', 'immigrated', 'family', ',', 'personally', ',', 'but', 'that', 'is', 'certainly', 'off', 'topic', '.', 'now', ',', 'the', 'authority', 'that', 'prevents', 'you', 'from', 'crossing', 'a', 'border', 'is', 'national', 'legal', 'authority', '.', 'the', 'people', 'of', 'the', 'country', 'as', 'a', 'collective', 'have', 'authorized', 'the', 'elected', 'government', 'to', 'create', 'a', 'nation', ',', 'and', 'limit', 'people', 'coming', 'in', '.', 'you', 'seem', 'to', 'be', 'an', 'advocate', 'of', 'the', 'natural', 'rights', 'of', 'man', ',', 'to', 'which', 'some', 'imagined', 'border', 'is', 'absurd', ',', 'however', ',', 'keep', 'in', 'mind', 'that', 'the', 'natural', 'state', 'of', 'man', 'is', 'to', 'kill', 'before', 'being', 'killed', 'and', 'to', 'live', 'under', 'no', 'set', 'of', 'law', 'of', 'values', '.', 'in', 'addition', 'to', 'authorizing', 'a', 'government', 'to', 'limit', 'these', 'natural', 'freedoms', '(', 'freedom', 'to', 'kill', ')', ',', 'we', 'have', 'authorized', 'them', 'to', 'limit', 'freedom', 'of', 'movement', '(', 'whether', 'it', 'be', 'preventing', 'an', 'invasion', 'of', 'armed', 'foreigners', 'or', 'illegal', 'entrants', 'to', 'the', 'country', ')', '.', 'natural', 'rights', ',', 'as', 'you', 'call', 'them', ',', 'no', 'longer', 'exist', 'in', 'our', 'society', ',', 'we', 'have', 'cast', 'them', 'off', 'in', 'the', 'name', 'of', 'safety', 'and', 'progress', '.', 'this', 'is', 'not', 'to', 'say', 'that', 'stopping', 'immigration', 'is', 'a', 'safety', 'concern', '!', 'but', 'it', 'is', 'among', 'the', 'other', 'natural', 'freedoms', 'that', 'government', 'controls', '.', 'and', 'americans', 'do', 'have', 'the', 'right', 'to', 'not', 'like', 'immigrants', ',', 'if', 'that', 'is', 'their', 'choice', '.', 'our', 'country', 'offers', 'very', 'beneficial', ',', 'very', 'expensive', 'services', 'to', 'our', 'citizens', ',', 'everything', 'from', 'roads', 'to', 'healthcare', '(', 'which', 'is', 'nearly', 'nationalized', '...', 'people', 'can', 'not', 'be', 'denied', 'emergency', 'room', 'care', ',', 'so', 'in', 'places', 'like', 'the', 'corruption', 'riddled', 'medicaid', 'system', 'of', 'ny', ',', 'there', 'are', 'plenty', 'that', 'use', 'emergency', 'room', 'visits', 'for', 'standard', 'illness', 'while', 'the', 'state', 'foots', 'the', 'bill', ')', '.', 'to', 'come', 'in', 'without', 'gaining', 'legal', 'access', ',', 'and', 'to', 'still', 'take', 'advantage', 'of', 'these', 'services', 'can', 'rightfully', 'be', 'considered', 'abuse', 'of', 'the', 'taxpayer', '.', 'while', 'this', 'does', 'not', 'compel', 'me', 'to', 'be', 'fully', 'against', 'immigration', ',', 'i', 'understand', 'the', 'argument', '.', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', 'back', 'on', 'topic', ',', 'i', 'consider', 'a', 'wall', 'a', 'reasonable', 'idea', '.', 'it', 'is', 'a', 'more', 'efficient', 'way', 'of', 'stopping', 'illegal', 'immigration', 'than', 'manpower', 'alone', '.', 'it', 'at', 'least', 'serves', 'as', 'a', 'minor', 'deterrent', ',', 'better', 'than', 'the', 'current', 'nothing', '.', 'if', 'we', 'are', 'going', 'to', 'restrict', 'immigration', '(', 'this', 'debate', 'is', 'not', 'on', 'whether', 'immigration', 'is', 'good', 'or', 'bad', ')', ',', 'then', 'some', 'sort', 'of', 'barrier', 'seems', 'like', 'the', 'obvious', 'starting', 'point', '.']",16,0,0,"""A fence should be built on the US/Mexico border"""
1812,immigration,"['based', 'on', 'the', 'anecdotal', 'assumption', 'that', 'illegal', 'immigrants', 'are', 'the', 'ones', ""'stealing"", ""'"", 'america', ""'s"", 'low-paying', 'jobs', ':', 'who', ""'s"", 'gon', 'na', 'build', 'it', '?', 'that', ""'s"", 'the', 'question', '.']",16,0,0,"""A fence should be built on the US/Mexico border"""
2531,immigration,"['a', 'fence', 'would', 'be', 'an', 'added', 'deterent', 'in', 'the', 'battle', 'to', 'stem', 'illegal', 'immigration', 'into', 'the', 'united', 'states', '.', 'a', 'slow', 'down', 'has', 'already', 'been', 'seen', 'in', 'the', 'areas', 'along', 'the', 'border', 'which', 'now', 'have', 'the', 'new', ',', 'strenghtened', 'fencing', '.', 'any', 'fence', ',', 'of', 'course', ',', 'would', 'have', 'to', 'go', 'hand-in-hand', 'with', 'enforcement', ',', 'i.e', '.', 'border', 'patrol', 'agents', ',', 'border', 'inspectors', ',', 'etc', '.', 'the', 'argument', 'from', 'some', ',', 'who', 'equate', 'a', 'fence', 'along', 'the', 'u.s.', 'border', ',', 'as', 'some', 'type', 'of', ',', '``', 'berlin', 'wall', ',', ""''"", 'is', 'completely', 'mis-guided', ',', 'as', 'well', 'as', 'mis-informed', '.', 'as', 'i', 'recall', ',', 'the', 'fence', 'would', 'be', 'keeping', 'people', 'out', ',', 'not', 'in', ',', 'and', 'be', 'in', 'place', 'to', 'protect', 'our', 'country', 'and', 'our', 'economy', '.', 'this', 'is', 'just', 'more', 'hyperbole', 'from', 'those', 'on', 'the', 'other', 'side', 'of', 'the', 'argument', '.', 'this', 'fence', 'will', 'not', 'only', 'deter', 'illegal', 'migrants', 'from', 'entering', ',', 'but', 'potential', 'terrorists', 'and', 'their', 'possible', 'weapons', 'they', 'bring', ',', 'i.e', '.', 'nuclear', 'material', ',', 'bateriolgical', ',', 'etc', '.', 'until', 'the', 'mexican', 'government', 'gets', 'serious', 'about', 'its', 'own', 'economy', 'and', 'stops', 'tryin', 'to', 'use', 'the', 'u.s.', 'as', 'a', 'release', 'valve', 'for', 'its', 'unemplyed', 'and', 'as', 'a', 'vacuum', 'for', 'u.s.', 'dollars', 'back', 'into', 'its', 'economy', ',', 'the', 'fence', 'and', 'increased', 'border', 'enforcement', 'is', 'the', 'only', 'viable', 'method', '.', 'r.n', '.']",16,0,0,"""A fence should be built on the US/Mexico border"""
