author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
16,"""gay marriage""","['for', 'the', 'record', '-', 'i', 'am', 'not', 'gay', '.', 'i', ""'m"", 'married', 'and', 'have', 'a', 'little', 'daughter', '.']",8,1,3,"""Allowing gay marriage is Wrong"""
462,"""gay marriage""","['i', 'voted', 'wrong', 'because', 'there', 'was', ""n't"", 'a', '``', 'who', 'gives', 'a', 'crap', ""''"", 'chose', '.', 'it', 'effects', 'me', 'in', 'no', 'way', '.', 'and', 'for', 'those', 'people', 'afraid', 'of', 'explaining', 'why', 'joe', 'kisses', 'mike', ',', 'that', ""'s"", 'your', 'problem', 'and', 'not', 'joe', ""'s"", 'nor', 'mike', ""'s"", '.']",8,1,3,"""Allowing gay marriage is Wrong"""
408,"""gay marriage""","['first', ',', 'religion', 'is', 'a', 'red', 'herring', '.', 'yes', ',', 'it', 'is', 'the', 'motive', 'behind', 'a', 'lot', 'of', 'the', 'opposition', ',', 'but', 'does', ""n't"", 'really', 'add', 'anything', 'to', 'the', 'analysis', 'of', 'the', 'arguments', '.', 'the', 'best', 'solution', 'is', 'to', 'allow', 'civil', 'unions', 'for', 'everyone', '(', 'not', 'just', 'gay', 'people', ')', '.', 'maintain', 'marriage', 'as', 'the', 'subset', 'of', 'civil', 'unions', 'which', 'consist', 'of', 'a', 'man', 'and', 'a', 'woman', '.', 'then', 'slowly', 'export', 'law', 'that', 'is', 'relevant', 'to', 'both', 'marriage', 'specifically', 'and', 'civil', 'unions', 'in', 'general', 'from', 'the', 'body', 'of', 'marriage', 'law', 'into', 'the', 'body', 'of', 'civil', 'union', 'law', '.', 'if', 'marriage', 'law', 'is', 'eventually', 'completely', 'subsumed', 'by', 'civil', 'union', 'law', ',', 'fine', '.', 'if', 'some', 'elements', 'of', 'marriage', 'law', 'survive', 'as', 'distinct', 'because', 'the', 'state', 'has', 'a', 'legitimate', 'interest', 'in', 'recognizing', 'man/woman', 'relationships', ',', 'fine', '.', 'the', 'worst', 'thing', 'to', 'do', 'is', 'to', 'instantly', 'undermine', 'the', 'assumptions', 'of', 'law', 'that', 'has', 'developed', 'over', 'hundreds', 'of', 'years', 'and', 'which', 'has', 'only', 'ever', 'contemplated', 'man/woman', 'relationships', 'and', 'their', 'effects', 'on', 'society', '(', 'especially', 'with', 'respect', 'to', 'child', 'birth', 'and', 'its', 'consequences', ')', '.']",8,1,3,"""Allowing gay marriage is Wrong"""
927,"""gay marriage""","['from', 'a', 'religious', 'standpoint', 'gay', 'marriage', 'is', ""n't"", 'even', 'possible', '.', 'let', 'along', 'right', '.', 'but', 'everyone', 'is', ""n't"", 'religious', 'or', 'adheres', 'to', 'specific', 'religious', 'guidance', '.', 'marriage', 'is', 'defined', 'as', 'between', 'a', 'woman', 'and', 'a', 'man', '.', 'so', 'the', 'word', '``', 'marriage', ""''"", 'may', 'be', 'misused', 'in', 'this', 'case', '.', 'civil', 'unions', ',', 'well', 'that', ""'s"", 'a', 'different', 'matter', '.']",8,1,3,"""Allowing gay marriage is Wrong"""
924,"""gay marriage""","['i', ""'ll"", 'be', 'for', 'it', 'when', 'gays/lesbians', ',', 'when', 'entering', 'the', 'marriage', 'are', 'obligated', 'to', 'choose', 'which', 'of', 'them', 'is', 'viewed', 'as', 'the', 'male', 'and', 'which', 'is', 'the', 'female', 'in', 'the', 'eyes', 'of', 'the', 'law', '.', 'in', 'the', 'real', 'world', 'men', 'and', 'women', 'are', 'treated', 'differently', 'in', 'the', 'eyes', 'of', 'the', 'law', 'when', 'it', 'comes', 'to', 'divorce', ',', 'dividing', 'assets', ',', 'alimony', ',', 'child', 'support', ',', 'etc', '.', 'as', 'it', 'is', 'the', 'gay', 'community', 'wants', 'all', 'the', 'benefits', 'without', 'having', 'to', 'risk', 'the', 'drawbacks', 'of', 'marriage', '.', 'agree', 'to', 'one', 'choosing', 'the', 'male', 'role', 'and', 'one', 'the', 'female', 'role', 'in', 'the', 'event', 'of', 'a', 'divorce', ',', 'and', 'you', 'have', 'my', 'for', 'vote', '.', 'as-is', ',', 'against', '.']",8,1,3,"""Allowing gay marriage is Wrong"""
975,"""gay marriage""","['all', 'laws', 'are', 'derived', 'from', 'your', 'moral', 'beliefs', '.', 'stealing', 'for', 'example', ',', 'is', 'against', 'the', 'law', 'because', 'most', 'people', 'believe', 'that', 'there', 'is', 'a', 'right', 'and', 'wrong', 'and', 'that', 'stealing', 'is', 'wrong', '.', 'i', 'can', 'not', 'agree', 'with', 'gay', 'marriage', 'because', 'i', 'believe', 'in', 'right', 'and', 'wrong', ',', 'and', 'that', 'homosexuality', 'is', 'wrong', '.', 'gay', 'marriage', 'will', 'become', 'legal', 'when', 'either', 'more', 'people', 'in', 'an', 'area', 'believe', 'it', 'is', 'morally', 'right', ',', 'or', 'when', 'proponents', 'deceive', 'enough', 'of', 'the', 'population', 'that', 'laws', 'are', 'not', 'about', 'right', 'and', 'wrong', '.']",8,1,3,"""Allowing gay marriage is Wrong"""
76,"""gay marriage""","['sarcasm', 'is', 'never', 'a', 'good', 'argument', 'in', 'the', 'place', 'of', 'justifiable', 'facts', 'a', 'terrible', 'fact-', 'gay', 'marriage', 'is', 'helping', 'spread', 'the', 'aids', 'virus']",8,1,3,"""Allowing gay marriage is Wrong"""
150,"""gay marriage""","['ok', '...', 'i', 'dont', 'have', 'any', 'thing', 'against', 'gay', 'people', '...', 'im', 'st8', 'my', 'self', 'but', 'i', 'think', 'that', 'if', 'they', 'want', 'to', 'live', 'togeather', ',', 'makeout', ',', 'even', 'try', 'to', 'make', 'little', 'babys', '(', 'they', 'cant', 'even', 'when', 'they', 'try', ')', 'its', 'there', 'right..', 'however', 'i', 'do', 'think', 'its', 'wrong', 'for', 'them', 'to', 'be', 'allowed', 'to', 'get', 'married..', 'the', 'bible', 'states', 'it', 'as', 'one', 'man', 'and', 'one', 'woman', '...', 'if', 'he', 'wants', 'men', 'to', 'be', 'togeather', 'it', 'would', 'have', 'been', 'adam', 'an', 'evan', 'instead', 'of', 'adam', 'an', 'eve', '...', '..', 'and', 'personly', 'i', 'just', 'dont', 'aggree', 'with', 'it', '.', 'i', 'would', 'fight', 'to', 'i', 'droped', 'dead', 'if', 'my', 'state', 'allowed', 'it..', '(', 'va', 'dosnt', 'and', 'isnt', 'considering', 'it', 'thank', 'gosh', ')', 'but', 'i', 'and', 'many', 'others', 'wont', 'go', 'for', 'it', '.', 'its', 'not', 'that', 'but', 'they', 'shoundt', 'be', 'able', 'to', 'do', 'it', '...', '50', 'years', 'ago', 'you', 'didnt', 'even', 'hardley', 'know', 'there', 'was', 'even', 'gay', 'people', 'at', 'all..', 'now', 'there', 'ever', 'where', '.']",8,1,3,"""Allowing gay marriage is Wrong"""
16,"""gay marriage""","['okay', '-', 'that', ""'s"", 'just', 'not', 'helpful', '...', 'they', 'need', 'to', 'add', 'a', 'way', 'to', 'demote', 'an', 'argument', 'as', '``', 'blatent', 'expression', 'of', 'opinion', ""''"", '-', 'mind', 'you', 'that', 'i', 'am', 'for', 'gay', 'marriage', '.']",8,1,3,"""Allowing gay marriage is Wrong"""
76,"""gay marriage""","['that', ""'s"", 'true', 'i', 'did', 'not', 'have', 'any', 'evidence', 'to', 'back', 'up', 'my', 'argument']",8,1,3,"""Allowing gay marriage is Wrong"""
