author_id,topic,text,topic_id,discussion_stance_id,topic_stance_id,discussion_stance
1098,"""marijuana legalization""","['now', '...', 'i', 'must', 'admit', ',', 'i', 'have', 'definitely', 'tried', 'my', 'share', '.', 'i', 'do', ""n't"", 'anymore', ',', 'but', 'i', 'did', 'plenty', ',', 'so', 'i', ""'m"", 'a', 'bit', 'of', 'a', 'hypocrite', '.', 'the', 'reason', 'i', 'say', 'it', 'should', ""n't"", 'be', 'legalized', 'is', 'because', 'i', 'have', 'seen', 'it', 'be', 'a', '``', 'gateway', 'drug', ',', ""''"", 'as', 'much', 'as', 'i', 'hate', 'that', 'term', '.', 'once', 'you', ""'re"", 'in', 'the', 'culture', 'of', 'hanging', 'out', 'doing', 'drugs', ',', 'other', 'things', 'that', 'you', 'would', 'have', 'never', 'considered', 'doing', 'before', 'do', ""n't"", 'seem', 'as', 'bad', 'anymore', 'and', 'get', 'moved', 'out', 'of', 'that', ""'"", 'i', 'would', 'never', 'do', 'that', ""'"", 'category', '.', 'so', ',', 'i', 'think', ',', 'the', 'less', 'weed', 'out', 'there', 'for', 'kids', ',', 'the', 'better', '.']",10,1,3,"""No, it should not be legal"""
507,"""marijuana legalization""","['is', 'this', 'seriously', 'an', 'argument', '?', '?', 'marijuana', 'messes', 'with', 'your', 'head', 'and', 'causes', 'you', 'to', '(', 'scientifically', 'proven', ')', 'lose', 'brain', 'cells', '.', 'i', 'guess', 'if', 'you', 'think', 'you', ""'re"", 'smart', 'enough', 'to', 'not', 'need', 'those', 'braincells', ',', 'then', ',', 'puff', 'away', '.', 'the', 'chance', 'of', 'mj', 'being', 'legalized', 'is', 'less', 'than', 'slim', 'to', 'none', '...', 'the', 'government', 'will', 'not', 'make', 'enough', 'money', 'off', 'of', 'it', 'being', 'done', '.', 'there', ""'s"", 'no', 'real', 'profit', 'in', 'it', 'for', 'them', ',', 'because', 'with', 'all', 'their', 'packaging', 'costs', 'and', 'so', 'forth', 'they', 'could', 'not', 'sell', 'it', 'for', 'as', 'little', 'as', 'your', 'local', 'dealer', '...', 'my', 'advice', 'to', 'all', 'the', 'druggies', 'out', 'there', 'is', 'to', 'just', 'enjoy', 'it', 'in', 'it', ""'s"", 'illegal', 'state', '...', 'because', 'if', 'they', 'do', 'decide', 'to', 'legalize', 'it', ',', 'it', ""'s"", 'gon', 'na', 'jump', 'in', 'price', '.']",10,1,3,"""No, it should not be legal"""
1580,"""marijuana legalization""","['the', 'argument', 'is', 'not', 'if', 'cigarettes', 'should', 'be', 'illegal', ',', 'but', 'if', 'marijuana', 'should', 'be', '.', 'marijuana', 'has', 'a', 'more', 'potent', 'dose', 'or', 'carcinogens', 'to', 'users', ',', 'which', 'rules', 'out', 'the', 'theory', 'of', 'it', 'being', 'less', 'harmful', '.', 'as', 'for', 'cigarettes', ',', 'the', 'issue', 'of', 'it', 'becoming', 'legal', 'may', 'not', 'be', 'possible', '.', 'it', 'is', 'one', 'of', 'those', 'drugs', 'that', 'is', 'too', 'engrained', 'in', 'our', 'culture', 'to', 'be', 'removed', ',', 'often', ',', 'when', 'a', 'drug', 'is', 'legal', 'and', 'heavily', 'used', ',', 'it', 'will', 'remain', 'indefinitely', '.', 'however', ',', 'marijuana', 'use', 'is', 'not', 'nearly', 'so', 'prevalent', ',', 'yet', '.', 'if', 'it', 'is', 'legalized', ',', 'there', 'may', 'be', 'no', 'way', 'to', 'reverse', 'it', ',', 'future', 'attempts', 'to', 'go', 'back', 'on', 'possible', 'damage', 'caused', 'will', 'lead', 'to', 'even', 'more', 'resistance', 'and', 'illegal', 'use', '.', 'it', 'is', 'better', 'off', 'left', 'illegal', '.', 'with', 'the', 'ills', 'caused', 'by', 'cigarettes', 'echoed', 'so', 'closely', ',', 'we', 'have', 'a', 'chance', 'to', 'not', 'cause', 'that', 'in', 'future', 'years', 'with', 'a', 'newer', 'drug', '.', 'no', 'reason', 'to', 'blow', 'the', 'chance', 'permanently', '.']",10,1,3,"""No, it should not be legal"""
10,"""marijuana legalization""","['not', 'that', 'i', 'disagree', 'with', 'your', 'argument', ',', 'i', 'just', 'disagree', 'with', 'your', 'logic', '.', 'your', 'argument', 'does', ""n't"", 'address', 'the', 'topic', '.', 'should', 'marijuana', 'be', 'illegal', 'has', 'nothing', 'to', 'do', 'with', 'cigarettes', '.', 'it', 'has', 'to', 'do', 'with', 'itself', '.', 'yes', 'i', 'agree', ',', 'cigarettes', 'are', 'terrible', ',', 'one', 'of', 'the', 'worst', 'inventions', 'of', 'capitalism', '.', 'it', 'is', 'the', 'original', 'cause', 'for', 'slavery', 'in', 'the', 'us', '.', 'the', 'english', 'did', ""n't"", 'find', 'gold', 'in', 'the', 'new', 'land', ',', 'they', 'found', 'tobacco', '.', 'there', 'was', 'such', 'a', 'high', 'demand', 'for', 'it', 'back', 'in', 'england', 'that', 'they', 'needed', 'a', 'large', '``', 'workforce', ""''"", 'to', 'harvest', ',', 'cut', ',', 'and', 'dry', 'all', 'of', 'it', ',', 'ie', 'slaves', '.', 'it', 'holds', 'a', 'tight', 'grip', 'on', 'it', ""'s"", 'victims', 'who', 'may', 'know', 'that', ',', 'but', 'do', ""n't"", 'realize', 'it', ',', 'until', 'it', ""'s"", 'too', 'late', '.', 'often', 'they', ""'re"", 'on', 'their', 'death', 'bed', ',', 'dying', 'from', 'emphesima', 'at', 'the', 'age', 'of', '55', ',', 'screaming', 'that', 'they', 'do', ""n't"", 'want', 'to', 'go', ',', 'but', 'their', 'lungs', 'give', 'up', 'on', 'them', '(', 'my', 'wife', ""'s"", 'grandmother', 'who', 'died', 'at', '55', ')', '.', 'but', 'it', 'is', 'no', 'reason', 'why', 'marijuana', 'should', 'be', 'legal', '.', 'marijuana', 'is', 'also', 'less', 'dangerous', 'than', 'alcohol', '.', 'which', 'is', 'responsible', 'for', '50', '%', 'of', 'fatal', 'car', 'accidents', ',', '50', '%', 'of', 'homicides', '(', 'are', 'committed', 'under', 'the', 'unfluence', ')', ',', 'and', 'do', ""n't"", 'forget', 'domestic', 'violence', '.', 'drunk', 'guys', 'sure', 'do', 'love', 'beating', 'their', 'wives', 'and', 'kids', '.', 'marijuana', 'calms', 'you', 'down', '(', 'unless', 'you', 'get', 'paranoid', 'from', 'it', ')', ',', 'and', 'alcohol', 'pisses', 'you', 'off', '.', 'drunk', 'guys', 'always', 'want', 'to', 'fight', ',', 'notice', '?', 'i', ""'ve"", 'seen', 'a', 'lot', 'of', 'drunk', 'fights', ',', 'and', 'i', ""'ve"", 'seen', 'a', 'lot', 'of', 'high', 'people', 'fall', 'down', 'stairs', ',', 'and', 'just', 'laugh', 'it', 'off', '.', 'but', 'does', ""n't"", 'mean', 'marijuana', 'should', 'be', 'legal', '.', 'i', 'want', 'to', 'hear', 'a', 'good', 'argument', '.', 'i', ""'m"", 'serious', ',', 'i', 'mean', 'i', 'want', 'to', 'hear', 'a', 'good', 'reason', '.', 'i', ""'m"", 'interested', '.']",10,1,3,"""No, it should not be legal"""
10,"""marijuana legalization""","['agreed', ',', 'point', 'is', ',', '``', 'it', ""'s"", 'not', 'as', 'bad', 'as', 'cigarettes', ""''"", 'or', '``', 'it', ""'s"", 'not', 'as', 'bad', 'as', 'alcohol', ""''"", 'is', ""n't"", 'a', 'reason', 'to', 'make', 'it', 'legal', '.', 'there', 'are', 'lots', 'of', 'worse', 'things', 'out', 'there', '.', 'i', 'want', 'to', 'hear', 'a', 'substantial', 'argument', '.', 'one', 'that', 'can', 'stand', 'on', 'its', 'own', '.']",10,1,3,"""No, it should not be legal"""
10,"""marijuana legalization""","['finally', 'a', 'good', 'argument', '.', 'i', 'like', 'your', 'argument', ',', 'and', 'so', 'far', 'it', 'has', 'educated', 'me', '.', 'do', 'you', 'have', 'sources', 'for', 'that', 'information', 'you', 'can', 'share', 'with', 'us', '?']",10,1,3,"""No, it should not be legal"""
279,"""marijuana legalization""","['legalizing', 'a', 'drug', 'is', 'like', 'saying', ',', 'hey', '!', 'go', 'kill', 'yourself', ',', 'its', 'proven', 'that', 'drugs', 'have', 'negative', 'affects', 'on', 'the', 'human', 'body', '.', 'ciggarettes', ',', 'legalized', ',', 'cause', 'many', 'deaths', '.', 'also', ',', 'modified', ',', 'illegal', 'drugs', ',', 'could', 'be', 'sold', 'as', 'legal', ',', 'and', 'the', 'consumer', 'may', 'never', 'know', 'what', 'they', 'are', 'actually', 'getting', 'into']",10,1,3,"""No, it should not be legal"""
1684,"""marijuana legalization""","['marijuana', 'should', ""n't"", 'necessarily', 'be', 'compared', 'to', 'cigarettes', 'as', 'it', 'always', 'is', '.', 'one', 'of', 'the', 'most', 'common', 'arguments', 'i', 'hear', 'toward', 'keeping', 'marijuana', 'illegal', 'is', '``', 'marijuana', 'smoke', 'contains', '(', 'insert', 'random', 'large', 'number', 'here', ')', 'toxins', '.', ""''"", 'but', 'one', 'fact', 'that', 'is', 'never', 'addressed', 'is', ':', 'you', 'do', ""n't"", 'have', 'to', 'smoke', 'it', '.', 'smoking', 'is', ""n't"", 'the', 'only', 'way', 'to', 'get', 'thc', 'into', 'your', 'system', '.', 'you', 'could', 'simply', 'eat', 'it', ',', 'and', 'get', 'no', 'toxins', 'from', 'smoke', 'by', 'going', 'that', 'route', '.']",10,1,3,"""No, it should not be legal"""
454,"""marijuana legalization""","['yeah', ',', 'that', ""'s"", 'all', 'we', 'need', '...', 'a', 'stoned', 'person', 'getting', 'behind', 'the', 'wheel', 'and', 'crashing', 'into', 'a', 'minivan', 'full', 'of', 'kids', '...', 'and', 'then', 'not', 'being', 'reprimanded', 'for', 'the', 'drugs', 'in', 'his', 'system', '.', 'yeah', ',', 'i', 'think', 'this', 'is', 'a', 'real', 'good', 'idea', '...']",10,1,3,"""No, it should not be legal"""
454,"""marijuana legalization""","['uh', 'no', '...', '.they', 'can', 'still', 'drive', 'under', 'the', 'influence', '.', 'hey', ',', 'and', 'get', 'this', ':', 'on', 'the', 'interstate', 'wow', '!']",10,1,3,"""No, it should not be legal"""
